Date,Equity,DD
04/26/2010,59300,0
04/27/2010,59300,0
04/28/2010,59300,0
04/29/2010,59300,0
04/30/2010,59300,0
05/02/2010,59295,-5
05/03/2010,59465,0
05/04/2010,59400,-65
05/05/2010,59305,-160
05/06/2010,57065,-2400
05/07/2010,57180,-2285
05/09/2010,57180,-2285
05/10/2010,57180,-2285
05/11/2010,56705,-2760
05/12/2010,56765,-2700
05/13/2010,56900,-2565
05/14/2010,56900,-2565
05/16/2010,56900,-2565
05/17/2010,57435,-2030
05/18/2010,56545,-2920
05/19/2010,58160,-1305
05/20/2010,56515,-2950
05/21/2010,57050,-2415
05/23/2010,57295,-2170
05/24/2010,57725,-1740
05/25/2010,56710,-2755
05/26/2010,56220,-3245
05/27/2010,56220,-3245
05/28/2010,56220,-3245
05/30/2010,56220,-3245
05/31/2010,56220,-3245
06/01/2010,56325,-3140
06/02/2010,56290,-3175
06/03/2010,56290,-3175
06/04/2010,56790,-2675
06/06/2010,56605,-2860
06/07/2010,56800,-2665
06/08/2010,56385,-3080
06/09/2010,56340,-3125
06/10/2010,56845,-2620
06/11/2010,56700,-2765
06/13/2010,56615,-2850
06/14/2010,56630,-2835
06/15/2010,56420,-3045
06/16/2010,56490,-2975
06/17/2010,56490,-2975
06/18/2010,56490,-2975
06/20/2010,56585,-2880
06/21/2010,57705,-1760
06/22/2010,57435,-2030
06/23/2010,57320,-2145
06/24/2010,57250,-2215
06/25/2010,56040,-3425
06/27/2010,56040,-3425
06/28/2010,56040,-3425
06/29/2010,56255,-3210
06/30/2010,56260,-3205
07/01/2010,57395,-2070
07/02/2010,57760,-1705
07/04/2010,58025,-1440
07/05/2010,58075,-1390
07/06/2010,59590,0
07/07/2010,59155,-435
07/08/2010,60170,0
07/09/2010,58960,-1210
07/11/2010,58945,-1225
07/12/2010,59220,-950
07/13/2010,59285,-885
07/14/2010,59360,-810
07/15/2010,59360,-810
07/16/2010,59360,-810
07/18/2010,59265,-905
07/19/2010,60375,0
07/20/2010,60095,-280
07/21/2010,59920,-455
07/22/2010,58710,-1665
07/23/2010,58950,-1425
07/25/2010,58950,-1425
07/26/2010,59215,-1160
07/27/2010,61075,0
07/28/2010,61525,0
07/29/2010,62275,0
07/30/2010,62240,-35
08/01/2010,62240,-35
08/02/2010,61760,-515
08/03/2010,61760,-515
08/04/2010,61915,-360
08/05/2010,61900,-375
08/06/2010,61900,-375
08/08/2010,61900,-375
08/09/2010,61900,-375
08/10/2010,61900,-375
08/11/2010,61900,-375
08/12/2010,61965,-310
08/13/2010,62130,-145
08/15/2010,62130,-145
08/16/2010,61995,-280
08/17/2010,62120,-155
08/18/2010,62120,-155
08/19/2010,62120,-155
08/20/2010,62120,-155
08/22/2010,62120,-155
08/23/2010,61685,-590
08/24/2010,61210,-1065
08/25/2010,60545,-1730
08/26/2010,60740,-1535
08/27/2010,60740,-1535
08/29/2010,60740,-1535
08/30/2010,60735,-1540
08/31/2010,60480,-1795
09/01/2010,60480,-1795
09/02/2010,60495,-1780
09/03/2010,60550,-1725
09/05/2010,60550,-1725
09/06/2010,60355,-1920
09/07/2010,60410,-1865
09/08/2010,60475,-1800
09/09/2010,60600,-1675
09/10/2010,60550,-1725
09/12/2010,60605,-1670
09/13/2010,61655,-620
09/14/2010,60195,-2080
09/15/2010,60260,-2015
09/16/2010,60260,-2015
09/17/2010,60260,-2015
